,Time,CPU_user
112,2018-07-19 16:09:20+00:00,1050.0
113,2018-07-19 16:09:25+00:00,844.0
114,2018-07-19 16:09:30+00:00,1054.6666666716335
115,2018-07-19 16:09:35+00:00,1019.3333333283664
116,2018-07-19 16:09:40+00:00,248.0
117,2018-07-19 16:09:45+00:00,13.33333332836628
118,2018-07-19 16:09:50+00:00,14.66666667163372
119,2018-07-19 16:09:55+00:00,235.5
120,2018-07-19 16:10:00+00:00,518.1666666716337
121,2018-07-19 16:10:05+00:00,521.8333333283663
122,2018-07-19 16:10:10+00:00,521.1666666716337
123,2018-07-19 16:10:15+00:00,519.8333333283663
124,2018-07-19 16:10:20+00:00,415.5
125,2018-07-19 16:10:25+00:00,520.3333333283663
126,2018-07-19 16:10:30+00:00,524.1666666716337
127,2018-07-19 16:10:35+00:00,418.0
128,2018-07-19 16:10:40+00:00,526.8333333283663
129,2018-07-19 16:10:45+00:00,484.66666667163366
130,2018-07-19 16:10:50+00:00,55.0
131,2018-07-19 16:10:55+00:00,11.66666667163372
132,2018-07-19 16:11:00+00:00,13.33333332836628
133,2018-07-19 16:11:05+00:00,11.5
134,2018-07-19 16:11:10+00:00,12.5
135,2018-07-19 16:11:15+00:00,63.0
136,2018-07-19 16:11:20+00:00,379.0
137,2018-07-19 16:11:25+00:00,546.6666666716337
138,2018-07-19 16:11:30+00:00,542.8333333283663
139,2018-07-19 16:11:35+00:00,434.0
140,2018-07-19 16:11:40+00:00,457.0
141,2018-07-19 16:11:45+00:00,563.8333333283663
142,2018-07-19 16:11:50+00:00,541.6666666716337
143,2018-07-19 16:11:55+00:00,546.0
144,2018-07-19 16:12:00+00:00,542.5
145,2018-07-19 16:12:05+00:00,435.5
146,2018-07-19 16:12:10+00:00,474.0
147,2018-07-19 16:12:15+00:00,545.0
148,2018-07-19 16:12:20+00:00,542.5
149,2018-07-19 16:12:25+00:00,434.0
150,2018-07-19 16:12:30+00:00,544.8333333283663
151,2018-07-19 16:12:35+00:00,570.6666666716337
152,2018-07-19 16:12:40+00:00,458.5
153,2018-07-19 16:12:45+00:00,540.8333333283663
154,2018-07-19 16:12:50+00:00,539.6666666716337
155,2018-07-19 16:12:55+00:00,433.5
156,2018-07-19 16:13:00+00:00,433.0
157,2018-07-19 16:13:05+00:00,519.8333333283663
158,2018-07-19 16:13:10+00:00,84.66666667163372
159,2018-07-19 16:13:15+00:00,13.33333332836628
160,2018-07-19 16:13:20+00:00,12.16666667163372
161,2018-07-19 16:13:25+00:00,12.0
162,2018-07-19 16:13:30+00:00,10.5
163,2018-07-19 16:13:35+00:00,77.33333332836628
164,2018-07-19 16:13:40+00:00,462.16666667163366
165,2018-07-19 16:13:45+00:00,437.0
166,2018-07-19 16:13:50+00:00,543.5
167,2018-07-19 16:13:55+00:00,541.5
168,2018-07-19 16:14:00+00:00,478.0
169,2018-07-19 16:14:05+00:00,540.1666666716337
170,2018-07-19 16:14:10+00:00,542.8333333283663
171,2018-07-19 16:14:15+00:00,436.0
172,2018-07-19 16:14:20+00:00,549.1666666716337
173,2018-07-19 16:14:25+00:00,568.3333333283663
174,2018-07-19 16:14:30+00:00,457.0
175,2018-07-19 16:14:35+00:00,541.6666666716337
176,2018-07-19 16:14:40+00:00,541.8333333283663
177,2018-07-19 16:14:45+00:00,432.0
178,2018-07-19 16:14:50+00:00,435.5
179,2018-07-19 16:14:55+00:00,574.3333333283663
180,2018-07-19 16:15:00+00:00,558.1666666716337
181,2018-07-19 16:15:05+00:00,545.1666666716337
182,2018-07-19 16:15:10+00:00,541.3333333283663
183,2018-07-19 16:15:15+00:00,433.5
184,2018-07-19 16:15:20+00:00,487.5
185,2018-07-19 16:15:25+00:00,481.5
186,2018-07-19 16:15:30+00:00,211.83333332836628
187,2018-07-19 16:15:35+00:00,14.16666667163372
188,2018-07-19 16:15:40+00:00,10.5
