81.3834000	3146308.31	-0.0268857	26.1361000	120381.7063144	0.0911285	0.0909327
67.1217000	2981556.36	-0.0520960	24.7013000	120704.4310597	0.0545232	0.0543339
62.8802000	2686284.41	0.0174297	22.0213000	121985.7325487	0.0136660	0.0134854
71.2193000	2781587.80	0.0039555	22.1455000	125605.1025817	-0.0293619	-0.0295131
70.3424000	2803680.25	-0.0023040	22.8332000	122789.6331169	-0.0718948	-0.0719781
86.3513000	2790790.81	0.0924063	23.3453000	119544.0113232	-0.1104166	-0.1103821
96.8989000	3359077.44	-0.0376882	27.0397000	124227.6148050	-0.1405755	-0.1403752
72.5060000	3115078.45	-0.0272338	25.6475000	121457.3915325	-0.1575896	-0.1571941
59.6384000	2949905.90	-0.0201096	24.0902000	122452.5282161	-0.1570430	-0.1564606
63.2859000	2833601.59	-0.0170041	22.3230000	126936.4150110	-0.1359245	-0.1352188
61.4498000	2738846.96	-0.0208151	21.6046000	126771.4728690	-0.0936403	-0.0929381
58.2504000	2627153.08	0.0188652	20.3039000	129391.5491791	-0.0326883	-0.0321734
57.0831000	2728182.50	-0.0090334	21.3456000	127810.0640201	0.0412621	0.0413729
56.0025000	2679334.16	-0.0137497	21.6039000	124020.8553470	0.1199981	0.1194939
59.0542000	2606653.41	0.0281107	21.3487000	122098.9294366	0.1940130	0.1927396
71.8534000	2757441.84	-0.0207683	23.6409000	116638.6150797	0.2541069	0.2520183
108.1085000	2645237.51	0.1547066	29.2868000	90321.8347616	0.2929624	0.2901557
120.9908000	3613506.21	0.1694621	43.4759000	83115.1560487	0.3063216	0.3030489
125.9866000	5088097.89	-0.0238706	51.8005000	98224.8799692	0.2935139	0.2901604
108.2866000	4850849.74	-0.1135941	38.6929000	125367.9549478	0.2572586	0.2542884
90.4118000	3861210.90	0.0036124	30.9127000	124906.9443265	0.2028626	0.2007385
110.2742000	3889208.21	0.0523893	30.3809000	128014.9111769	0.1370613	0.1361591
111.0970000	4319243.16	0.0321168	33.9721000	127140.8937242	0.0668008	0.0673336
113.7423000	4605889.92	0.0178162	39.1514000	117643.0451196	-0.0017874	0.0001838
108.4958000	4772985.92	0.0631115	42.3182000	112788.0183032	-0.0640642	-0.0608660
92.7579000	5416029.81	-0.0710320	43.6558000	124062.0905951	-0.1171721	-0.1131364
86.2146000	4697636.01	-0.2185479	35.4431000	132540.2127005	-0.1599793	-0.1556016
90.6225000	3012583.95	0.1222623	29.1109000	103486.4587969	-0.1927741	-0.1885652
97.0401000	3851844.87	0.1556208	38.8395000	99173.3897960	-0.2168061	-0.2132032
105.6131000	5271650.32	-0.1521539	41.1621000	128070.4899977	-0.2337544	-0.2310547
